Threads
thread	group	parent	class	method
--------------------------------------------------------------
0x80a4b80	Finalizer	system	<unknown>	
0x80a3e38	Reference Handler	system	<unknown>	
0x8246ea8	Signal Dispatcher	system	<unknown>	
0x8244db0	jmp-gtk	system	<unknown>	



Classdump
class_name	#instaces	max #instances	size	#GC	tenure
sun.security.provider.NativePRNG$RandomIO	1	1	56	0	0
float[]	1	1	56	0	0
sun.reflect.DelegatingClassLoader	1	1	56	0	0
java.lang.ThreadLocal	3	3	48	0	0
java.util.regex.Pattern$Branch	3	3	48	0	0
java.lang.ref.ReferenceQueue$Null	2	2	48	0	0
java.io.BufferedOutputStream	2	2	48	0	0
sun.misc.BASE64Decoder	3	3	48	0	0
java.util.LinkedHashMap	1	1	48	0	0
java.nio.charset.CodingErrorAction	3	3	48	0	0
java.util.HashSet	3	3	48	0	0
java.io.FileOutputStream	2	2	48	0	0
sun.misc.Signal	3	3	48	0	0
java.io.OutputStreamWriter	2	2	48	0	0
sun.nio.cs.StandardCharsets$Aliases	1	1	40	0	0
sun.nio.cs.StandardCharsets$Cache	1	1	40	0	0
sun.misc.FloatingDecimal	1	1	40	0	0
java.util.concurrent.ConcurrentHashMap	1	1	40	0	0
java.lang.ref.ReferenceQueue$Lock	5	5	40	0	0
sun.nio.cs.StandardCharsets$Classes	1	1	40	0	0
java.util.Collections$SynchronizedMap	1	1	32	0	0
sun.misc.SoftCache	1	1	32	0	0
sun.nio.cs.Surrogate$Generator	2	2	32	0	0
sun.misc.URLClassPath$FileLoader$1	1	1	32	0	0
sun.misc.NativeSignalHandler	2	2	32	0	0
java.lang.Boolean	2	2	32	0	0
java.util.Properties$LineReader	1	1	32	0	0
java.util.regex.Pattern$Dummy	2	2	32	0	0
java.nio.charset.CoderResult	2	2	32	0	0
sun.security.action.GetPropertyAction	2	2	32	0	0
java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl	1	1	32	0	0
java.util.Random	1	1	32	0	0
java.nio.ByteOrder	2	2	32	0	0
java.lang.ClassLoader$NativeLibrary	1	1	32	0	0
